,建案名稱,總價,格局/地坪,建坪,位置,網站,latitude,longitude
2847,得冠日光,,70起,大興街212巷28號,大興街212巷28號,https://tainan.housetube.tw/26130,23.0115891,120.1881616
2848,鈔集市,,28~32,位址:,台南市安南區長和路二段169號,https://tainan.housetube.tw/26121,23.0632117,120.2194917
2849,大京藏,,20~27,位址:,台南市南區新興路466號,https://tainan.housetube.tw/26116,22.9750162,120.1874229
2850,那藏,,65~87,台南市永康區永大路二段556巷90號,台南市永康區永大路二段556巷90號,https://tainan.housetube.tw/26115,23.001822,120.26013
2851,百岳寬庭II,,50~52,東隆里、清水公園旁,東隆里、清水公園旁,https://tainan.housetube.tw/26090,,
2852,力藝 十二喜,,位址:,最新推案,信義街,https://tainan.housetube.tw/26089,24.874188,120.998298
2853,世界真美麗,,位址:,社區,台南市南區興昌路78號,https://tainan.housetube.tw/26073,22.9769184,120.1988121
2854,崇善16街,,89.6起,崇善16街,崇善16街,https://tainan.housetube.tw/26067,,
2855,隆田樸玉,,68~72,未提供,未提供,https://tainan.housetube.tw/25464,34.2338993,135.177091
2856,呈豐日日3期,,位址:,社區,太子一街,https://tainan.housetube.tw/26022,22.989673,120.265897
2857,風和日上,,58起,興農街69巷20弄2號,興農街69巷20弄2號,https://tainan.housetube.tw/26021,,
2858,土城喜硯,,50.1~90.4,台南市安南區城安三街46號,台南市安南區城安三街46號,https://tainan.housetube.tw/26008,23.0645622,120.129379
2859,邰欣地堡35,,23~28,位址:,未提供,https://tainan.housetube.tw/26006,34.2338993,135.177091
2860,邰欣地堡31,,31起,位址:,新市重劃區、富安六街,https://tainan.housetube.tw/26005,23.082788,120.292514
2861,左岸森林,,未提供,府安路四段132巷18號旁,府安路四段132巷18號旁,https://tainan.housetube.tw/25990,23.025219,120.208978
2862,植得,,128~128,台南市永康區中華一路325號,台南市永康區中華一路325號,https://tainan.housetube.tw/25986,25.140339,121.499326
2863,大和森富,,77.8~96.4,大和路330巷62號,大和路330巷62號,https://tainan.housetube.tw/25974,23.0148424,120.1907238
2864,喜樂泉源2,,65起,"州平二街38巷12,16,18號","州平二街38巷12,16,18號",https://tainan.housetube.tw/25968,,
2865,原築,,126~126,台南市東區東門路3段179巷113號,台南市東區東門路3段179巷113號,https://tainan.housetube.tw/25961,,
